NO_OF_FRAMES	691
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:03:54	6867.40290917
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
59	0.29000	329.479	276.068	1618.855	274.311	414.631	1348.471	230.078	485.706	1038.575	289.313	544.350	816.638	283.563	132.490	1349.910	246.761	44.822	1038.394	330.920	-11.141	837.470	300.779	441.529	816.878	292.340	401.142	431.761	208.122	420.442	69.177	171.999	368.440	28.827	313.633	457.659	27.658	377.394	426.285	28.647	299.812	83.839	817.842	292.040	121.555	426.206	210.267	97.544	67.479	166.578	139.020	33.791	317.648	63.961	26.006	384.523	111.879	27.014
60	0.29500	329.389	276.013	1618.846	274.367	414.647	1348.432	230.043	485.707	1038.579	289.487	544.327	816.720	283.605	132.502	1349.840	246.810	44.827	1038.323	330.868	-11.156	837.470	300.865	441.480	816.863	292.277	401.156	431.917	207.997	420.401	69.297	172.036	368.343	28.709	313.632	457.672	27.601	377.356	426.260	28.701	299.831	83.777	817.906	292.045	121.565	426.170	210.167	97.500	67.539	166.686	139.058	33.792	317.581	63.924	26.201	384.514	111.800	27.153
61	0.30000	329.489	276.018	1618.820	274.416	414.641	1348.526	230.168	485.773	1038.521	289.325	544.463	816.767	283.693	132.503	1349.850	246.803	44.805	1038.371	330.925	-11.180	837.478	300.866	441.497	816.865	292.435	401.183	431.887	208.024	420.419	69.337	172.106	368.420	28.659	313.673	457.643	27.589	377.315	426.306	28.672	299.812	83.800	817.968	292.061	121.572	426.289	210.112	97.520	67.604	166.602	139.058	33.771	317.598	63.955	26.051	384.461	111.819	27.127
62	0.30500	329.513	275.965	1618.832	274.454	414.679	1348.432	230.252	485.811	1038.539	289.440	544.387	816.789	283.664	132.482	1349.853	246.843	44.774	1038.317	330.917	-11.130	837.518	300.857	441.491	816.839	292.349	401.194	431.856	208.065	420.408	69.309	172.193	368.433	28.535	313.700	457.665	27.498	377.412	426.253	28.694	299.829	83.758	817.978	292.207	121.554	426.259	210.166	97.467	67.516	166.617	139.099	33.936	317.576	63.910	26.065	384.431	111.838	27.121
63	0.31000	329.539	275.901	1618.820	274.551	414.607	1348.467	230.179	485.721	1038.547	289.495	544.406	816.740	283.709	132.470	1349.894	246.803	44.855	1038.301	330.991	-11.175	837.488	300.969	441.509	816.854	292.411	401.273	431.947	208.065	420.397	69.277	172.124	368.389	28.699	313.675	457.646	27.480	377.495	426.286	28.720	299.851	83.791	817.935	292.247	121.577	426.211	210.245	97.465	67.420	166.693	139.040	33.786	317.542	63.876	26.121	384.542	111.889	27.210
64	0.31500	329.618	275.891	1618.817	274.506	414.667	1348.474	230.239	485.728	1038.545	289.489	544.343	816.760	283.667	132.435	1349.915	246.850	44.841	1038.268	331.015	-11.123	837.479	300.936	441.491	816.845	292.365	401.122	431.785	208.052	420.447	69.277	172.102	368.358	28.552	313.658	457.658	27.623	377.421	426.273	28.671	299.858	83.800	817.924	292.328	121.623	426.210	210.157	97.533	67.633	166.664	139.052	33.872	317.609	63.929	25.961	384.419	111.845	27.262
65	0.32000	329.795	275.961	1618.823	274.555	414.666	1348.415	230.284	485.767	1038.611	289.605	544.341	816.722	283.727	132.440	1349.903	246.821	44.869	1038.289	330.981	-11.113	837.447	300.923	441.543	816.863	292.338	401.222	431.922	208.107	420.447	69.275	172.352	368.340	28.454	313.619	457.647	27.603	377.477	426.317	28.630	299.892	83.810	817.900	292.114	121.531	426.195	210.202	97.482	67.513	166.580	139.067	33.893	317.603	63.926	26.036	384.496	111.860	27.081
66	0.32500	329.742	275.947	1618.796	274.522	414.674	1348.548	230.349	485.790	1038.626	289.594	544.413	816.783	283.819	132.442	1349.858	246.911	44.845	1038.277	331.036	-11.135	837.456	300.841	441.452	816.848	292.513	401.134	431.868	207.999	420.355	69.285	172.106	368.423	28.652	313.651	457.663	27.395	377.422	426.065	28.697	299.899	83.742	817.923	292.134	121.565	426.322	210.308	97.450	67.451	166.603	138.999	33.894	317.571	63.938	26.059	384.579	111.826	27.011
67	0.33000	329.858	275.880	1618.714	274.653	414.615	1348.462	230.418	485.820	1038.588	289.560	544.414	816.809	283.918	132.457	1349.914	246.929	44.813	1038.305	331.063	-11.085	837.445	300.969	441.496	816.952	292.554	401.161	431.805	208.154	420.396	69.219	172.202	368.273	28.553	313.611	457.606	27.584	377.388	426.289	28.705	299.914	83.814	817.947	292.250	121.595	426.367	210.282	97.478	67.462	166.616	139.085	33.787	317.629	63.961	26.115	384.565	111.845	27.026
68	0.33500	329.819	275.856	1618.745	274.695	414.632	1348.502	230.511	485.791	1038.586	289.729	544.336	816.697	283.918	132.384	1349.937	246.949	44.859	1038.200	331.038	-11.096	837.472	300.849	441.431	816.895	292.431	401.117	431.768	207.995	420.384	69.383	172.079	368.404	28.682	313.718	457.687	27.574	377.500	426.323	28.675	299.914	83.776	817.969	292.154	121.513	426.319	210.084	97.491	67.608	166.694	139.109	33.809	317.525	63.839	26.039	384.440	111.913	27.035
