NO_OF_SAMPLES	691
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:03:54	6867.40290917
FIRST_SAMPLE	59
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
59	0.29000	-5.054985	8.621526	13.388441	3.245091	2.780145	-0.560603	-192.470414	215.667342	0.000000	
60	0.29500	-4.940681	8.666974	13.565216	3.209271	2.725652	-0.551417	-186.289338	210.072958	0.000000	
61	0.30000	-4.939901	8.575029	13.832376	3.163704	2.734279	-0.533073	-183.320313	202.980529	0.000000	
62	0.30500	-5.053919	8.665714	13.745589	3.127659	2.751958	-0.546573	-185.426010	201.375378	0.000000	
63	0.31000	-5.054334	8.575399	13.743829	3.208881	2.779791	-0.551419	-187.473650	207.577881	0.000000	
64	0.31500	-4.940431	8.689117	13.568219	3.163513	2.761437	-0.533006	-188.886317	206.587612	0.000000	
65	0.32000	-4.940686	8.552991	13.476050	3.218113	2.734833	-0.556108	-188.202251	212.466262	0.000000	
66	0.32500	-5.030987	8.643634	13.919496	3.191182	2.716234	-0.532939	-180.611719	203.480493	0.000000	
67	0.33000	-5.031178	8.643792	13.920491	3.208959	2.752564	-0.528434	-183.208094	204.742482	0.000000	
68	0.33500	-4.986242	8.620876	13.122392	3.181757	2.725445	-0.546708	-192.413939	215.226829	0.000000	
69	0.34000	-5.008498	8.552570	13.475736	3.208783	2.725544	-0.528452	-187.312959	211.780129	0.000000	
70	0.34500	-5.008957	8.711913	13.479025	3.163837	2.752348	-0.551236	-189.254465	207.913733	0.000000	
71	0.35000	-5.054341	8.643239	13.390999	3.163324	2.779432	-0.537485	-192.382449	209.454066	0.000000	
72	0.35500	-4.985677	8.552068	13.389262	3.163317	2.743331	-0.528412	-189.919380	209.757379	0.000000	
73	0.36000	-4.917280	8.643545	13.832840	3.163790	2.734291	-0.533055	-183.381386	202.778725	0.000000	
74	0.36500	-5.031300	8.529414	13.476531	3.172851	2.725294	-0.551315	-187.214586	209.171138	0.000000	
75	0.37000	-5.031430	8.506824	13.210621	3.208318	2.752706	-0.523878	-193.054481	216.146863	0.000000	
76	0.37500	-4.940341	8.620705	13.389938	3.172319	2.752483	-0.523865	-190.730823	210.210856	0.000000	
77	0.38000	-4.985729	8.620794	13.565625	3.181815	2.725339	-0.532979	-186.125798	208.180968	0.000000	
78	0.38500	-4.985850	8.575164	13.477479	3.181630	2.743478	-0.537617	-188.687617	209.669917	0.000000	
79	0.39000	-4.940720	8.620662	13.214025	3.163150	2.779625	-0.537637	-195.320766	212.322951	0.000000	
80	0.39500	-5.030925	8.620597	13.831259	3.172993	2.716112	-0.532913	-181.754297	203.534740	0.000000	
81	0.40000	-4.917065	8.621120	14.273445	3.182757	2.689182	-0.556030	-174.565620	197.894620	0.000000	
82	0.40500	-5.031418	8.529393	13.477666	3.172648	2.752443	-0.551352	-189.212851	209.138484	0.000000	
