NO_OF_SAMPLES	691
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:03:54	6867.40290917
FIRST_SAMPLE	59
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
59	0.29000	0.666249	0.656103	3.454772	0.347797	0.270218	0.127866	0.000000	0.000000	0.000000	
60	0.29500	0.759191	0.654591	3.894108	0.320256	0.269979	0.123200	0.000000	0.000000	0.000000	
61	0.30000	0.667779	0.609209	3.891756	0.356552	0.334058	0.123425	0.000000	0.000000	0.000000	
62	0.30500	0.622247	0.746155	3.628793	0.320297	0.297321	0.128062	0.000000	0.000000	0.000000	
63	0.31000	0.668802	0.700560	3.892933	0.320397	0.251738	0.118564	0.000000	0.000000	0.000000	
64	0.31500	0.643929	0.655719	3.541772	0.329519	0.297486	0.118770	0.000000	0.000000	0.000000	
65	0.32000	0.734540	0.586822	3.630792	0.329279	0.315666	0.127972	0.000000	0.000000	0.000000	
66	0.32500	0.826907	0.631163	3.894609	0.329097	0.306451	0.137146	0.000000	0.000000	0.000000	
67	0.33000	0.737315	0.608711	4.156179	0.347443	0.288348	0.123184	0.000000	0.000000	0.000000	
68	0.33500	0.667244	0.632253	3.717381	0.311115	0.315554	0.118804	0.000000	0.000000	0.000000	
69	0.34000	0.691110	0.586093	4.068514	0.356279	0.297316	0.150833	0.000000	0.000000	0.000000	
70	0.34500	0.644510	0.723856	3.542124	0.311334	0.269955	0.123330	0.000000	0.000000	0.000000	
71	0.35000	0.688982	0.633569	3.455164	0.329808	0.261150	0.104788	0.000000	0.000000	0.000000	
72	0.35500	0.646529	0.654816	4.067966	0.329350	0.260833	0.123130	0.000000	0.000000	0.000000	
73	0.36000	0.690063	0.632775	3.717856	0.347715	0.270197	0.123197	0.000000	0.000000	0.000000	
74	0.36500	0.804570	0.608586	3.981709	0.329250	0.306564	0.118694	0.000000	0.000000	0.000000	
75	0.37000	0.688397	0.655674	3.367663	0.320266	0.297333	0.137214	0.000000	0.000000	0.000000	
76	0.37500	0.803153	0.586896	3.719472	0.365783	0.270270	0.136955	0.000000	0.000000	0.000000	
77	0.38000	0.760092	0.699286	4.067898	0.365565	0.306660	0.137181	0.000000	0.000000	0.000000	
78	0.38500	0.802793	0.610697	3.543988	0.375414	0.234120	0.109222	0.000000	0.000000	0.000000	
79	0.39000	0.735968	0.700377	3.718843	0.311161	0.260754	0.132445	0.000000	0.000000	0.000000	
80	0.39500	0.689227	0.655268	3.542834	0.320187	0.297290	0.137187	0.000000	0.000000	0.000000	
81	0.40000	0.781809	0.608488	3.981551	0.320047	0.315569	0.123340	0.000000	0.000000	0.000000	
82	0.40500	0.667193	0.609969	3.717336	0.329516	0.297521	0.109487	0.000000	0.000000	0.000000	
83	0.41000	0.668819	0.722790	3.891703	0.320332	0.306542	0.109623	0.000000	0.000000	0.000000	
84	0.41500	0.667061	0.609968	3.717507	0.356678	0.288422	0.132458	0.000000	0.000000	0.000000	
85	0.42000	0.735207	0.631933	3.717698	0.347434	0.324871	0.132646	0.000000	0.000000	0.000000	
86	0.42500	0.759954	0.700029	3.981299	0.347626	0.251890	0.127751	0.000000	0.000000	0.000000	
87	0.43000	0.736349	0.586493	3.981073	0.347562	0.288426	0.118584	0.000000	0.000000	0.000000	
88	0.43500	0.758662	0.790973	3.630054	0.356585	0.288357	0.151079	0.000000	0.000000	0.000000	
89	0.44000	0.736406	0.609045	3.981782	0.347332	0.269965	0.146149	0.000000	0.000000	0.000000	
90	0.44500	0.690253	0.700802	3.629773	0.302341	0.288308	0.100357	0.000000	0.000000	0.000000	
91	0.45000	0.688472	0.655479	3.367596	0.283899	0.315448	0.118890	0.000000	0.000000	0.000000	
92	0.45500	0.645426	0.632234	3.892277	0.329351	0.297396	0.118691	0.000000	0.000000	0.000000	
93	0.46000	0.737746	0.744782	4.067215	0.365638	0.306691	0.132626	0.000000	0.000000	0.000000	
94	0.46500	0.667279	0.632703	3.716908	0.356807	0.297656	0.118712	0.000000	0.000000	0.000000	
95	0.47000	0.691982	0.722792	3.979140	0.347748	0.297652	0.104959	0.000000	0.000000	0.000000	
96	0.47500	0.601720	0.631655	4.242396	0.320102	0.288098	0.118598	0.000000	0.000000	0.000000	
97	0.48000	0.758806	0.722712	3.717487	0.311291	0.315715	0.105090	0.000000	0.000000	0.000000	
98	0.48500	0.668025	0.701026	3.717325	0.320596	0.261013	0.104821	0.000000	0.000000	0.000000	
99	0.49000	0.689704	0.723264	3.541709	0.329385	0.315682	0.128130	0.000000	0.000000	0.000000	
100	0.49500	0.645967	0.700240	3.892241	0.311157	0.288144	0.118728	0.000000	0.000000	0.000000	
101	0.50000	0.735104	0.654932	3.630507	0.320261	0.306520	0.123403	0.000000	0.000000	0.000000	
102	0.50500	0.736702	0.699646	3.893730	0.301868	0.288006	0.132541	0.000000	0.000000	0.000000	
103	0.51000	0.757932	0.655175	3.632085	0.311157	0.251623	0.136974	0.000000	0.000000	0.000000	
104	0.51500	0.667795	0.700793	3.717301	0.347649	0.270120	0.132476	0.000000	0.000000	0.000000	
105	0.52000	0.782064	0.699374	3.893711	0.310980	0.306374	0.128015	0.000000	0.000000	0.000000	
106	0.52500	0.691131	0.700050	3.891394	0.383928	0.315969	0.132641	0.000000	0.000000	0.000000	
107	0.53000	0.621891	0.632736	3.716844	0.329434	0.297429	0.118719	0.000000	0.000000	0.000000	
108	0.53500	0.621369	0.632495	3.629619	0.301935	0.315414	0.128027	0.000000	0.000000	0.000000	
109	0.54000	0.692136	0.699552	4.067734	0.320119	0.297274	0.123342	0.000000	0.000000	0.000000	
110	0.54500	0.691763	0.745495	3.892246	0.311270	0.288243	0.109569	0.000000	0.000000	0.000000	
111	0.55000	0.645630	0.769121	3.716054	0.366036	0.270329	0.123337	0.000000	0.000000	0.000000	
112	0.55500	0.691345	0.654329	3.979932	0.329257	0.315639	0.118782	0.000000	0.000000	0.000000	
113	0.56000	0.644989	0.586895	3.892433	0.356563	0.297487	0.132447	0.000000	0.000000	0.000000	
114	0.56500	0.666139	0.633359	3.455539	0.320436	0.260887	0.127808	0.000000	0.000000	0.000000	
115	0.57000	0.691056	0.609472	3.980026	0.374909	0.288578	0.123205	0.000000	0.000000	0.000000	
116	0.57500	0.757300	0.700642	3.455119	0.329484	0.306648	0.123476	0.000000	0.000000	0.000000	
117	0.58000	0.735454	0.654682	3.718133	0.329249	0.306493	0.132594	0.000000	0.000000	0.000000	
118	0.58500	0.757194	0.746223	3.367790	0.329452	0.288321	0.137268	0.000000	0.000000	0.000000	
119	0.59000	0.689608	0.654975	3.630274	0.320119	0.306389	0.137213	0.000000	0.000000	0.000000	
120	0.59500	0.598942	0.609954	3.717188	0.320151	0.297237	0.132507	0.000000	0.000000	0.000000	
121	0.60000	0.690598	0.723000	3.716930	0.329385	0.306554	0.123459	0.000000	0.000000	0.000000	
122	0.60500	0.690445	0.700312	3.717487	0.320228	0.297325	0.128000	0.000000	0.000000	0.000000	
123	0.61000	0.779776	0.633076	3.456459	0.320618	0.261085	0.109394	0.000000	0.000000	0.000000	
124	0.61500	0.688323	0.587167	3.455467	0.292878	0.324572	0.123445	0.000000	0.000000	0.000000	
125	0.62000	0.623990	0.700112	4.066185	0.365763	0.297588	0.123330	0.000000	0.000000	0.000000	
126	0.62500	0.759096	0.630862	3.981618	0.310656	0.324430	0.146424	0.000000	0.000000	0.000000	
127	0.63000	0.643493	0.655723	3.454346	0.311276	0.306491	0.118829	0.000000	0.000000	0.000000	
128	0.63500	0.643771	0.701239	3.454879	0.329368	0.269928	0.146333	0.000000	0.000000	0.000000	
129	0.64000	0.599136	0.746307	3.541009	0.302107	0.306353	0.123517	0.000000	0.000000	0.000000	
130	0.64500	0.643794	0.587299	3.629948	0.320244	0.306472	0.123330	0.000000	0.000000	0.000000	
131	0.65000	0.690529	0.609190	3.892558	0.347431	0.315720	0.127950	0.000000	0.000000	0.000000	
132	0.65500	0.780204	0.723216	3.455274	0.320413	0.306628	0.118899	0.000000	0.000000	0.000000	
133	0.66000	0.691561	0.654992	3.980161	0.347756	0.270244	0.109369	0.000000	0.000000	0.000000	
134	0.66500	0.647473	0.744438	4.155001	0.265337	0.315103	0.118867	0.000000	0.000000	0.000000	
135	0.67000	0.646132	0.745402	3.891852	0.329203	0.297261	0.137226	0.000000	0.000000	0.000000	
136	0.67500	0.782127	0.722134	3.892493	0.356565	0.324963	0.128109	0.000000	0.000000	0.000000	
137	0.68000	0.669295	0.699286	4.066889	0.320006	0.333749	0.123503	0.000000	0.000000	0.000000	
138	0.68500	0.757039	0.587514	3.544584	0.329470	0.251812	0.132307	0.000000	0.000000	0.000000	
139	0.69000	0.759299	0.631310	3.981031	0.320110	0.315598	0.118760	0.000000	0.000000	0.000000	
140	0.69500	0.690165	0.723138	3.629836	0.320228	0.297312	0.132642	0.000000	0.000000	0.000000	
141	0.70000	0.759891	0.767849	3.892401	0.347599	0.297562	0.123435	0.000000	0.000000	0.000000	
142	0.70500	0.734701	0.609684	3.630809	0.347502	0.297490	0.137118	0.000000	0.000000	0.000000	
143	0.71000	0.644145	0.746473	3.453544	0.320443	0.306570	0.118923	0.000000	0.000000	0.000000	
144	0.71500	0.734522	0.586758	3.631284	0.320082	0.306402	0.137141	0.000000	0.000000	0.000000	
145	0.72000	0.668096	0.632046	3.892392	0.329319	0.306527	0.118731	0.000000	0.000000	0.000000	
146	0.72500	0.734690	0.609567	3.631454	0.329178	0.288157	0.146289	0.000000	0.000000	0.000000	
147	0.73000	0.781651	0.631879	3.894267	0.347524	0.270120	0.132376	0.000000	0.000000	0.000000	
148	0.73500	0.691704	0.654291	4.067003	0.365675	0.315856	0.123363	0.000000	0.000000	0.000000	
149	0.74000	0.805273	0.653657	4.069801	0.319963	0.288088	0.137064	0.000000	0.000000	0.000000	
150	0.74500	0.736273	0.632124	3.893647	0.347580	0.270137	0.127773	0.000000	0.000000	0.000000	
151	0.75000	0.620968	0.655438	3.541494	0.347420	0.315635	0.146468	0.000000	0.000000	0.000000	
152	0.75500	0.690073	0.700818	3.629492	0.347726	0.288469	0.123363	0.000000	0.000000	0.000000	
153	0.76000	0.644609	0.655020	3.717184	0.329213	0.306416	0.137197	0.000000	0.000000	0.000000	
154	0.76500	0.757237	0.632575	3.542789	0.347717	0.306793	0.118782	0.000000	0.000000	0.000000	
155	0.77000	0.666318	0.564729	3.630156	0.347591	0.297528	0.127863	0.000000	0.000000	0.000000	
156	0.77500	0.644983	0.700577	3.716360	0.347585	0.306632	0.128034	0.000000	0.000000	0.000000	
157	0.78000	0.643823	0.633146	3.541741	0.329609	0.297557	0.109539	0.000000	0.000000	0.000000	
158	0.78500	0.666155	0.587720	3.543247	0.329425	0.270014	0.132388	0.000000	0.000000	0.000000	
159	0.79000	0.734161	0.586891	3.544302	0.292770	0.297096	0.137121	0.000000	0.000000	0.000000	
160	0.79500	0.734918	0.700345	3.542491	0.329319	0.315663	0.132710	0.000000	0.000000	0.000000	
161	0.80000	0.689637	0.655025	3.630177	0.320168	0.306426	0.132610	0.000000	0.000000	0.000000	
162	0.80500	0.690814	0.654558	3.893154	0.347290	0.288177	0.150895	0.000000	0.000000	0.000000	
163	0.81000	0.759777	0.767459	3.892608	0.329188	0.315594	0.132727	0.000000	0.000000	0.000000	
164	0.81500	0.758028	0.745630	3.542783	0.311161	0.306456	0.128119	0.000000	0.000000	0.000000	
165	0.82000	0.827160	0.654349	3.893538	0.374920	0.297787	0.123307	0.000000	0.000000	0.000000	
166	0.82500	0.759933	0.721996	3.980721	0.320080	0.306413	0.128023	0.000000	0.000000	0.000000	
167	0.83000	0.645423	0.746050	3.716536	0.329460	0.288294	0.123402	0.000000	0.000000	0.000000	
168	0.83500	0.759162	0.608781	3.981186	0.329256	0.306543	0.118694	0.000000	0.000000	0.000000	
169	0.84000	0.667827	0.586705	3.892434	0.320292	0.315685	0.104915	0.000000	0.000000	0.000000	
170	0.84500	0.668867	0.700607	3.892892	0.311370	0.251743	0.109360	0.000000	0.000000	0.000000	
171	0.85000	0.643987	0.655783	3.542708	0.311254	0.269910	0.127861	0.000000	0.000000	0.000000	
172	0.85500	0.780565	0.654762	3.631723	0.302010	0.288123	0.127930	0.000000	0.000000	0.000000	
173	0.86000	0.646003	0.631131	4.068292	0.301486	0.315131	0.150976	0.000000	0.000000	0.000000	
174	0.86500	0.692383	0.699029	4.154923	0.329020	0.324612	0.132654	0.000000	0.000000	0.000000	
175	0.87000	0.666104	0.701230	3.366544	0.320459	0.306597	0.118888	0.000000	0.000000	0.000000	
176	0.87500	0.668435	0.631678	3.980664	0.319983	0.297168	0.137094	0.000000	0.000000	0.000000	
177	0.88000	0.735930	0.700152	3.718365	0.302046	0.288123	0.123361	0.000000	0.000000	0.000000	
178	0.88500	0.759892	0.721922	3.981552	0.310813	0.287955	0.146359	0.000000	0.000000	0.000000	
179	0.89000	0.736960	0.608430	4.069968	0.265341	0.287750	0.123219	0.000000	0.000000	0.000000	
180	0.89500	0.761228	0.721731	4.243311	0.347401	0.288312	0.127895	0.000000	0.000000	0.000000	
181	0.90000	0.805150	0.631058	4.069132	0.329220	0.306544	0.118704	0.000000	0.000000	0.000000	
182	0.90500	0.644064	0.768756	3.453760	0.329203	0.315505	0.151210	0.000000	0.000000	0.000000	
