NO_OF_FRAMES	254
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:43:32	9245.71777628
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
4364	21.81500	-623.398	263.904	1613.409	-731.264	401.868	1354.594	-946.054	458.257	1157.379	-781.419	502.536	990.860	-653.844	143.840	1348.145	-704.006	-15.388	1085.924	-558.971	130.714	990.781	-774.254	447.919	828.058	-637.513	382.784	460.768	-606.497	351.929	85.098	-626.697	300.296	52.194	-500.935	393.883	79.284	-447.001	364.478	119.492	-764.713	95.865	852.979	-945.993	121.609	469.368	-1185.473	110.604	178.301	-1219.327	160.985	191.317	-1166.015	94.720	53.411	-1103.625	135.065	37.800
4365	21.82000	-613.458	264.790	1614.140	-724.097	402.662	1355.438	-938.568	457.395	1158.507	-772.040	501.920	993.874	-646.498	145.432	1349.339	-691.753	-11.124	1087.589	-550.166	134.657	997.121	-763.407	448.168	828.490	-628.438	382.001	460.324	-597.071	351.827	84.435	-617.665	300.103	51.601	-490.677	393.396	78.374	-437.672	363.570	119.233	-754.286	95.643	853.933	-938.948	121.725	471.585	-1180.485	109.259	183.591	-1213.873	158.715	197.674	-1163.744	93.260	56.633	-1102.235	134.419	38.858
4366	21.82500	-604.786	266.039	1614.398	-716.936	403.572	1355.956	-931.386	456.769	1158.631	-762.732	501.431	996.731	-639.214	146.750	1350.419	-684.347	-6.828	1089.422	-541.506	138.306	1002.646	-752.644	448.218	829.795	-619.348	381.077	459.507	-588.287	351.096	83.256	-609.109	300.054	50.752	-481.441	392.128	77.301	-429.102	363.054	118.875	-742.802	95.768	855.264	-932.154	120.815	473.932	-1174.816	107.804	188.314	-1208.530	156.462	203.391	-1160.614	92.267	62.560	-1100.790	133.090	40.322
4367	21.83000	-595.733	267.806	1613.949	-710.382	404.294	1355.785	-923.945	456.492	1158.593	-753.263	501.080	999.317	-632.033	148.197	1351.134	-675.393	-8.198	1090.202	-533.841	141.092	1008.627	-741.795	448.011	830.385	-609.684	379.923	459.757	-580.679	350.646	82.600	-601.333	299.179	49.828	-473.484	390.717	76.449	-421.182	361.704	118.640	-732.004	95.691	856.239	-922.841	120.469	475.080	-1169.754	106.817	193.419	-1204.091	154.342	209.543	-1159.786	90.744	69.274	-1101.387	131.108	40.575
4368	21.83500	-587.047	269.491	1612.997	-702.970	405.076	1355.786	-916.789	456.046	1158.578	-743.562	501.045	1002.254	-624.248	149.601	1351.607	-665.598	-7.827	1090.948	-525.244	145.222	1013.162	-730.441	448.002	830.029	-600.503	379.112	459.366	-573.079	350.272	81.793	-593.968	299.041	48.103	-465.447	389.230	75.111	-413.530	360.776	116.311	-720.938	95.664	856.936	-911.335	120.470	475.060	-1164.554	105.631	198.455	-1199.898	152.721	215.775	-1159.772	89.955	73.621	-1104.012	129.015	41.849
4369	21.84000	-578.501	270.908	1612.512	-695.779	406.201	1355.376	-909.507	455.987	1158.461	-733.623	500.853	1004.300	-616.595	151.080	1351.394	-656.950	-6.346	1091.484	-516.293	148.141	1017.248	-719.307	448.322	828.646	-591.232	378.500	458.802	-565.979	349.627	80.089	-587.564	298.419	46.501	-457.885	388.151	72.455	-406.279	359.059	114.147	-710.589	95.705	857.166	-900.015	120.287	473.590	-1159.989	105.007	203.314	-1196.013	151.827	221.530	-1160.590	89.310	77.592	-1107.083	126.247	42.798
4370	21.84500	-569.777	272.595	1612.707	-688.438	407.171	1354.154	-902.141	455.824	1157.683	-723.704	500.125	1006.133	-608.273	152.630	1350.936	-647.939	-5.899	1091.170	-508.093	150.874	1022.613	-709.949	448.546	827.378	-581.464	377.349	455.979	-559.702	349.245	78.169	-581.896	298.258	45.225	-451.211	386.832	70.131	-399.399	356.839	110.988	-699.272	96.015	857.416	-887.740	119.776	473.201	-1155.573	104.785	208.029	-1192.085	151.506	228.024	-1162.625	88.101	84.972	-1110.299	122.222	44.047
4371	21.85000	-561.415	274.029	1612.095	-681.344	408.236	1353.229	-894.592	455.566	1155.226	-713.874	499.882	1007.250	-601.247	153.784	1350.722	-641.455	-3.703	1091.851	-500.018	153.809	1027.105	-699.544	448.597	826.690	-572.541	376.717	455.474	-554.034	348.882	76.175	-576.615	298.102	43.550	-444.964	384.922	66.942	-393.723	354.337	108.556	-689.087	96.429	856.950	-874.537	119.970	470.436	-1151.591	104.979	213.472	-1187.448	152.307	234.134	-1162.614	86.805	92.152	-1111.512	119.864	50.773
4372	21.85500	-552.845	275.516	1610.234	-674.135	409.166	1352.007	-886.876	457.324	1153.003	-704.171	498.842	1008.553	-594.110	154.499	1350.616	-632.872	-2.493	1090.894	-492.006	156.850	1031.042	-687.734	448.681	824.442	-563.676	376.332	455.152	-548.359	348.205	73.557	-571.562	297.948	41.043	-439.436	383.550	63.668	-387.830	352.124	104.427	-678.803	96.716	856.726	-862.373	119.686	467.875	-1149.269	105.549	219.808	-1183.366	153.853	241.294	-1162.612	85.261	97.495	-1114.512	115.400	53.995
4373	21.86000	-544.208	277.143	1608.684	-667.066	410.499	1350.408	-879.672	456.705	1151.656	-694.171	498.628	1009.276	-587.000	155.046	1350.256	-624.304	-1.364	1089.611	-484.193	159.557	1034.787	-677.213	448.782	823.059	-554.387	375.708	452.240	-543.324	347.807	70.502	-567.846	297.805	38.790	-434.577	382.161	60.611	-382.583	349.778	100.719	-668.375	96.953	856.052	-850.420	119.187	464.386	-1146.294	106.315	226.776	-1178.227	155.766	248.094	-1165.000	85.108	106.504	-1115.863	113.113	61.631
4374	21.86500	-535.614	278.623	1607.209	-660.110	411.861	1348.689	-871.989	457.224	1149.151	-684.018	498.040	1010.584	-579.425	156.098	1349.309	-616.332	0.263	1088.892	-475.958	162.142	1038.071	-666.474	448.841	821.139	-545.439	374.766	451.422	-539.404	346.975	68.739	-563.875	297.428	36.334	-430.115	380.701	56.676	-378.050	347.132	96.826	-658.533	97.267	854.454	-838.389	118.317	460.256	-1142.598	107.485	232.423	-1172.913	158.352	254.652	-1164.271	84.516	112.354	-1117.580	111.133	67.014
4375	21.87000	-527.097	280.218	1605.041	-652.917	413.033	1347.034	-863.939	458.309	1146.021	-673.882	497.450	1010.587	-571.530	157.461	1347.381	-608.456	0.967	1087.766	-467.994	164.366	1041.426	-655.918	449.345	819.041	-536.398	373.905	448.791	-535.099	346.574	65.477	-560.690	297.549	34.522	-425.649	379.038	51.993	-373.254	344.496	91.208	-648.759	97.765	852.503	-825.991	117.148	457.117	-1139.007	108.094	239.358	-1167.702	160.539	261.636	-1164.346	84.013	121.474	-1118.036	109.535	73.211
4376	21.87500	-518.798	282.031	1603.308	-645.651	414.113	1344.667	-856.286	459.152	1143.278	-663.153	497.731	1010.352	-564.805	157.917	1346.267	-600.117	2.511	1086.563	-460.538	166.754	1044.784	-646.241	449.820	817.690	-526.619	373.526	445.490	-530.840	345.267	62.748	-559.822	296.729	36.262	-422.159	377.010	45.753	-369.112	342.630	83.078	-639.191	97.814	851.603	-815.064	115.412	453.752	-1134.751	109.346	245.670	-1161.467	162.819	267.779	-1163.513	83.589	130.946	-1118.954	108.503	79.255
4377	21.88000	-510.771	283.172	1601.641	-637.799	415.349	1341.859	-847.895	460.515	1138.582	-652.374	497.284	1010.405	-557.897	158.445	1345.033	-591.765	3.838	1083.974	-453.258	168.689	1046.893	-635.153	450.018	814.243	-517.525	373.927	443.035	-527.678	343.796	61.042	-559.417	295.443	38.080	-421.740	375.604	38.948	-364.593	340.446	69.906	-628.632	98.752	849.075	-804.354	113.627	452.276	-1128.964	110.428	251.750	-1155.906	163.895	275.384	-1161.312	83.170	136.678	-1118.073	107.488	85.774
4378	21.88500	-502.185	284.715	1599.186	-630.526	416.402	1339.401	-840.072	461.419	1135.239	-642.325	496.882	1010.144	-550.339	159.264	1343.090	-583.833	4.454	1081.683	-445.733	171.017	1048.755	-625.349	451.120	811.890	-508.292	374.408	438.556	-526.066	343.057	60.524	-559.423	294.421	39.139	-422.039	374.612	34.380	-362.863	337.350	64.401	-618.053	99.572	845.968	-794.012	111.714	450.464	-1124.028	110.792	259.344	-1149.495	165.415	282.545	-1159.532	82.805	148.377	-1118.406	105.857	90.903
4379	21.89000	-493.402	286.154	1596.480	-622.912	417.538	1336.207	-830.766	463.314	1129.619	-631.579	496.430	1009.828	-542.437	160.668	1340.692	-575.806	5.311	1079.367	-437.549	173.128	1050.364	-615.022	451.779	808.559	-499.364	374.437	436.870	-525.158	343.062	61.413	-559.542	293.792	40.134	-420.838	373.364	33.298	-362.448	334.108	62.859	-607.906	100.399	842.902	-780.348	112.190	444.348	-1118.472	111.382	266.677	-1142.763	166.327	290.225	-1156.641	82.623	155.465	-1117.934	104.323	98.327
4380	21.89500	-485.120	287.559	1594.925	-615.266	418.944	1333.471	-823.551	463.596	1126.432	-620.619	496.250	1008.745	-535.361	161.304	1339.004	-567.948	6.371	1076.886	-430.211	174.883	1052.153	-605.241	452.456	805.291	-487.353	373.967	434.388	-524.299	343.227	63.196	-558.433	294.650	40.464	-417.767	371.392	33.826	-362.339	331.093	60.553	-597.522	101.158	840.360	-769.056	112.070	438.938	-1111.345	112.354	273.294	-1134.774	167.177	298.056	-1152.607	82.467	164.248	-1116.658	103.545	105.734
4381	21.90000	-476.727	288.890	1593.142	-607.707	420.441	1331.601	-815.150	464.309	1120.849	-610.229	495.995	1007.534	-527.607	161.868	1337.532	-560.593	6.751	1074.907	-422.970	176.530	1053.316	-595.846	453.094	802.341	-474.785	373.949	433.677	-523.444	343.686	65.255	-557.177	296.865	41.357	-414.839	369.702	33.183	-361.093	328.630	57.079	-587.490	101.838	837.336	-756.414	112.572	435.162	-1102.842	113.423	279.743	-1126.094	167.626	305.824	-1148.208	82.794	173.698	-1113.751	103.593	113.903
