NO_OF_SAMPLES	254
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:43:32	9245.71777628
FIRST_SAMPLE	4364
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
4364	21.81500	1.499709	6.268357	5.132530	1.198493	0.804708	-1.564056	-168.805706	183.347711	0.000000	
4365	21.82000	1.385608	6.382423	5.131151	1.199337	0.768390	-1.591311	-160.869972	182.658759	0.000000	
4366	21.82500	1.589506	6.451843	5.043562	1.226762	0.787067	-1.623728	-169.006067	190.719251	0.000000	
4367	21.83000	1.589119	6.611748	4.952970	1.218853	0.714649	-1.655617	0.000000	0.000000	0.000000	
4368	21.83500	1.748329	6.475087	5.219302	1.183337	0.705677	-1.710938	-148.962497	175.777811	0.000000	
4369	21.84000	1.816090	6.612316	4.954266	1.201271	0.714942	-1.701777	0.000000	0.000000	0.000000	
4370	21.84500	1.814677	6.750018	4.867984	1.246761	0.787792	-1.747750	0.000000	0.000000	0.000000	
4371	21.85000	1.838661	6.543789	5.132203	1.165726	0.714812	-1.752283	-153.982798	174.795301	0.000000	
4372	21.85500	1.793072	6.635208	5.220789	1.192830	0.723936	-1.738463	-152.765592	176.300221	0.000000	
4373	21.86000	1.815404	6.726860	5.131422	1.211328	0.706035	-1.752199	-152.111628	182.259751	0.000000	
4374	21.86500	1.106032	11.167689	10.506531	0.425256	0.986861	-2.009055	-98.356278	-3.253842	0.000000	
4375	21.87000	-1.278633	32.289618	122.191908	-19.525631	5.427642	-2.831230	-44.146404	-171.086140	0.000000	
4376	21.87500	-2.855238	70.043709	684.307313	-119.852947	26.041447	-6.982292	-38.038130	-179.860909	0.000000	
4377	21.88000	-41.381619	43.054383	538.765951	-92.819770	22.903317	-10.426962	-39.543565	-176.086608	0.000000	
4378	21.88500	-46.148569	17.211010	490.607247	-84.622109	21.309837	-9.539539	-39.767656	-174.468028	0.000000	
4379	21.89000	-43.387648	14.344923	523.421472	-89.978877	22.289068	-9.401449	-39.369164	-173.577094	0.000000	
4380	21.89500	-32.072429	24.065905	483.466360	-81.713199	19.916604	-7.601501	-38.653518	-171.595780	0.000000	
4381	21.90000	-23.065531	25.109339	423.880500	-69.561319	16.427619	-5.583954	-36.697658	-167.070648	0.000000	
4382	21.90500	-12.994589	26.701435	426.539061	-67.068375	14.844403	-3.602782	-33.717047	-160.339813	0.000000	
4383	21.91000	0.992454	35.508509	457.869697	-68.778824	14.185577	-1.543993	-31.222123	-153.923368	0.000000	
4384	21.91500	12.919248	45.396015	473.601604	-68.000876	13.303725	-0.370539	-29.350854	-148.034265	0.000000	
4385	21.92000	27.403467	58.490311	506.888678	-68.731497	12.926130	0.550048	-27.849036	-140.840208	0.000000	
4386	21.92500	36.682854	75.319722	556.578184	-71.389813	13.392776	0.792929	-26.891924	-134.320588	0.000000	
4387	21.93000	33.779916	86.138609	599.086035	-73.013633	14.372114	0.040680	-26.432551	-128.273542	0.000000	
4388	21.93500	28.028194	90.712797	645.299069	-75.287942	15.551671	-0.665629	-26.016415	-122.939584	0.000000	
4389	21.94000	25.671724	92.825949	690.724298	-77.778669	16.834251	-1.212631	-26.033780	-118.621474	0.000000	
4390	21.94500	28.443885	90.338709	737.288406	-80.402208	17.852563	-1.746225	-25.933085	-114.586470	0.000000	
4391	21.95000	26.417046	87.548796	767.709822	-80.784204	18.577199	-2.358760	-25.748160	-110.417970	0.000000	
4392	21.95500	23.788025	85.803763	788.045147	-79.316907	18.836062	-2.480756	-25.280660	-105.631197	0.000000	
4393	21.96000	28.991664	84.052856	807.581217	-77.514684	18.563763	-1.897104	-24.597307	-100.769720	0.000000	
4394	21.96500	34.713519	83.197410	824.095668	-75.332745	18.204797	-1.267967	-23.953851	-96.071709	0.000000	
4395	21.97000	35.532206	81.636087	835.781514	-72.394292	17.937906	-1.180082	-23.341513	-91.144566	0.000000	
4396	21.97500	36.766533	78.516306	849.880987	-70.109376	17.865766	-1.157315	-22.930911	-86.804151	0.000000	
4397	21.98000	39.784936	73.818499	868.160945	-68.378732	17.791254	-1.036363	-22.506669	-82.774939	0.000000	
4398	21.98500	42.686095	70.264787	887.144343	-66.453067	17.582256	-1.052378	-21.925558	-78.682325	0.000000	
4399	21.99000	45.021265	69.123279	898.204108	-63.281315	17.175672	-1.429924	-21.310389	-74.137543	0.000000	
4400	21.99500	46.344812	68.742370	903.385857	-59.392462	16.611634	-1.980630	-20.624172	-69.393623	0.000000	
4401	22.00000	47.218016	66.508359	907.766711	-55.778820	16.063470	-2.485573	-19.960585	-64.980672	0.000000	
4402	22.00500	48.851942	62.898556	914.729643	-52.730347	15.493187	-2.757555	-19.258908	-60.997365	0.000000	
4403	22.01000	51.990501	59.880547	922.244179	-49.956791	14.976206	-2.778308	-18.680876	-57.364596	0.000000	
4404	22.01500	55.537294	56.979856	928.863747	-46.983894	14.343783	-2.781311	-18.023060	-53.632363	0.000000	
4405	22.02000	57.921251	53.666809	933.618015	-44.001709	13.792076	-2.929879	-17.444830	-50.023746	0.000000	
4406	22.02500	58.640241	50.259525	935.092318	-41.020283	13.401848	-3.204732	-17.031480	-46.609391	0.000000	
4407	22.03000	58.631615	46.529182	935.238699	-38.202993	13.045827	-3.478459	-16.647790	-43.427811	0.000000	
4408	22.03500	58.169058	42.499259	934.593061	-35.488349	12.833143	-3.655352	-16.411515	-40.377670	0.000000	
4409	22.04000	58.142408	37.530057	932.091019	-33.068157	12.609841	-3.662943	-16.214427	-37.671512	0.000000	
4410	22.04500	58.259640	31.092871	930.579394	-31.205136	12.536059	-3.510357	-16.166349	-35.448849	0.000000	
4411	22.05000	57.130232	22.866570	928.010431	-29.870718	12.592854	-3.365621	-16.222451	-33.747473	0.000000	
4412	22.05500	56.755633	13.906465	924.122857	-28.849691	12.711437	-2.996903	-16.401911	-32.388438	0.000000	
4413	22.06000	53.045314	0.983289	919.078323	-28.486578	13.084168	-2.680591	-16.732687	-31.596975	0.000000	
4414	22.06500	49.096202	-9.289938	910.230958	-27.991513	13.439972	-2.614402	-17.108530	-30.896382	0.000000	
4415	22.07000	45.328933	-13.162596	901.319851	-27.008194	13.899297	-3.247171	-17.616027	-29.930838	0.000000	
4416	22.07500	39.661996	-20.285052	889.637039	-26.198768	14.246217	-3.397107	-17.976605	-29.081554	0.000000	
4417	22.08000	34.628562	-27.656262	874.139782	-25.354358	14.531834	-3.621138	-18.385478	-28.278749	0.000000	
4418	22.08500	30.688849	-34.432531	858.822325	-24.466470	14.718977	-3.621300	-18.742267	-27.418845	0.000000	
4419	22.09000	27.838576	-40.088074	841.025453	-23.524775	14.754006	-3.516250	-19.039651	-26.594414	0.000000	
4420	22.09500	25.830802	-45.788640	822.788180	-22.665353	14.726170	-3.366177	-19.325351	-25.845583	0.000000	
4421	22.10000	23.711554	-52.471639	802.946909	-21.827044	14.616854	-3.110803	-19.555787	-25.088354	0.000000	
4422	22.10500	20.977136	-59.087679	781.952180	-21.007083	14.515781	-2.863619	-19.805468	-24.354706	0.000000	
4423	22.11000	18.764486	-65.291913	759.361442	-20.204797	14.288726	-2.616493	-19.972787	-23.674264	0.000000	
4424	22.11500	16.210653	-71.725743	735.706726	-19.440071	14.088223	-2.341412	-20.196545	-23.022858	0.000000	
4425	22.12000	13.359840	-78.593097	709.118613	-18.604833	13.825070	-2.043090	-20.413714	-22.293959	0.000000	
4426	22.12500	10.462372	-85.392861	680.847888	-17.842524	13.543466	-1.758114	-20.668570	-21.671192	0.000000	
4427	22.13000	7.948320	-91.209653	650.806179	-17.024864	13.181407	-1.486565	-20.902395	-21.026369	0.000000	
4428	22.13500	5.590669	-96.067170	618.901429	-16.196254	12.647780	-1.241708	-20.955136	-20.423876	0.000000	
4429	22.14000	3.662435	-99.782666	585.586095	-15.340596	12.123769	-0.946080	-21.110065	-19.835150	0.000000	
4430	22.14500	2.048178	-102.377741	550.677994	-14.410379	11.546626	-0.737208	-21.271479	-19.176483	0.000000	
4431	22.15000	0.476639	-103.921935	514.794419	-13.414762	10.861355	-0.550491	-21.288437	-18.418384	0.000000	
4432	22.15500	-0.665564	-104.483363	478.028080	-12.408169	10.104340	-0.413981	-21.233397	-17.638589	0.000000	
4433	22.16000	-1.220100	-103.559435	440.382747	-11.363317	9.302955	-0.304678	-21.164580	-16.811236	0.000000	
4434	22.16500	-1.480857	-101.380341	403.280151	-10.388753	8.519121	-0.222354	-21.127835	-16.109357	0.000000	
