NO_OF_SAMPLES	254
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:43:32	9245.71777628
FIRST_SAMPLE	4364
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
4364	21.81500	0.777098	-0.494304	3.449951	0.312292	0.433208	0.083272	0.000000	0.000000	0.000000	
4365	21.82000	0.731950	-0.585539	3.539407	0.321303	0.433258	0.074226	0.000000	0.000000	0.000000	
4366	21.82500	0.731096	-0.403023	3.627993	0.285295	0.442270	0.055761	0.000000	0.000000	0.000000	
4367	21.83000	0.777442	-0.471756	3.629085	0.294175	0.442061	0.087860	0.000000	0.000000	0.000000	
4368	21.83500	0.731782	-0.494516	3.539201	0.312440	0.387506	0.092610	0.000000	0.000000	0.000000	
4369	21.84000	0.732356	-0.608667	3.540117	0.312022	0.469449	0.087999	0.000000	0.000000	0.000000	
4370	21.84500	0.754860	-0.562954	3.450282	0.330214	0.478796	0.083320	0.000000	0.000000	0.000000	
4371	21.85000	0.801234	-0.631263	3.808034	0.348618	0.415139	0.083303	0.000000	0.000000	0.000000	
4372	21.85500	0.687443	-0.677107	3.718148	0.366657	0.433424	0.074378	0.000000	0.000000	0.000000	
4373	21.86000	0.754423	-0.494419	3.539516	0.294153	0.433011	0.083329	0.000000	0.000000	0.000000	
4374	21.86500	0.891558	-0.448686	3.807914	0.312534	0.414984	0.087611	0.000000	0.000000	0.000000	
