NO_OF_FRAMES	232
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
3162	15.80500	-65.231	297.529	1568.354	-178.256	452.831	1312.950	-136.829	576.515	1022.521	42.183	531.207	863.510	-185.027	179.304	1322.024	-246.436	50.244	1033.621	-164.328	48.596	815.856	-194.071	472.170	791.821	-273.153	402.952	412.941	-461.801	391.533	92.060	-507.049	350.367	77.501	-370.307	422.108	28.367	-307.225	381.143	29.651	-126.002	122.389	829.751	18.255	162.723	440.482	106.769	146.453	80.957	82.875	195.502	45.343	218.989	121.285	76.610	260.214	163.718	119.665
3163	15.81000	-58.088	296.449	1567.551	-171.965	452.344	1312.049	-129.678	575.631	1022.157	49.215	529.527	863.153	-178.540	178.206	1321.283	-241.069	49.728	1033.287	-160.619	47.756	814.660	-188.680	471.171	791.093	-268.697	403.056	412.827	-461.034	392.128	94.088	-506.090	350.635	79.957	-370.272	421.994	28.363	-307.216	381.231	29.739	-119.348	121.691	829.706	23.912	162.359	439.871	114.235	146.709	80.089	89.418	195.381	44.553	226.444	121.656	75.635	266.724	164.371	119.900
3164	15.81500	-50.902	295.165	1567.092	-165.417	451.430	1311.760	-122.679	574.732	1022.167	56.201	527.994	863.330	-171.417	177.515	1320.138	-235.161	49.378	1032.337	-158.698	48.305	813.275	-182.469	470.470	790.490	-263.890	403.335	412.700	-460.257	392.738	96.177	-505.479	350.813	82.114	-370.090	421.961	28.445	-307.029	381.309	29.484	-112.031	121.890	828.898	28.722	161.480	439.068	121.068	147.100	78.258	94.996	195.494	43.683	232.783	122.325	75.666	272.880	165.546	119.575
3165	15.82000	-43.319	293.973	1566.351	-158.322	450.305	1311.530	-115.848	573.584	1022.344	62.780	526.639	863.616	-164.090	176.662	1319.477	-229.878	48.882	1031.388	-153.471	47.195	812.482	-176.606	469.661	789.979	-259.473	403.481	412.725	-459.153	393.047	98.440	-504.306	351.307	84.665	-370.081	422.093	28.653	-307.230	381.314	29.721	-104.936	120.948	828.795	34.193	161.072	438.360	126.059	147.140	77.541	100.380	195.831	42.339	238.116	123.251	74.751	278.367	166.379	118.378
3166	15.82500	-35.793	292.857	1565.648	-151.883	449.333	1311.454	-109.404	572.454	1022.058	69.149	524.932	863.315	-157.546	175.675	1318.789	-224.235	48.665	1031.147	-149.340	45.897	811.317	-170.838	468.552	790.164	-254.616	403.013	412.844	-458.155	393.524	100.817	-503.530	351.898	87.675	-369.908	422.149	28.710	-307.159	381.232	29.660	-98.098	120.267	828.653	39.798	160.468	438.128	130.244	147.100	76.920	104.856	196.042	41.285	242.474	123.856	73.436	283.070	167.195	116.493
3167	15.83000	-28.757	291.533	1564.661	-145.029	448.182	1311.114	-102.638	571.129	1021.854	76.264	523.360	862.910	-151.318	174.498	1318.444	-218.149	48.039	1031.305	-143.608	43.936	812.076	-165.211	467.579	789.728	-249.674	403.204	412.743	-456.929	394.356	103.394	-502.073	352.069	90.361	-369.732	421.962	28.796	-307.196	381.251	29.902	-90.684	119.680	828.441	45.804	160.323	437.801	134.035	147.407	75.831	108.371	195.863	40.353	246.520	124.490	71.023	286.821	168.247	114.369
3168	15.83500	-21.482	290.246	1564.135	-138.137	447.020	1311.324	-95.740	570.252	1021.765	82.685	521.903	862.300	-144.383	173.591	1317.927	-212.206	47.747	1030.800	-138.359	42.926	810.349	-159.035	466.830	790.026	-243.876	403.521	413.300	-455.562	394.865	105.272	-500.607	352.218	93.198	-369.413	421.992	29.097	-307.086	381.256	29.681	-83.316	118.799	828.247	52.392	160.535	436.960	136.862	147.553	74.556	110.912	196.045	39.079	249.743	125.028	68.562	289.827	169.231	112.265
3169	15.84000	-14.217	289.052	1563.851	-130.786	445.805	1311.259	-88.872	569.081	1022.011	89.180	520.344	862.432	-136.973	172.632	1318.005	-206.293	47.308	1030.183	-133.395	41.884	809.013	-152.639	465.951	789.674	-238.107	403.452	413.563	-453.819	395.128	106.857	-499.471	352.742	96.656	-369.204	422.070	29.215	-307.135	381.272	29.767	-76.589	118.001	828.721	59.269	160.761	436.347	139.273	147.567	72.819	113.236	196.175	37.507	251.972	125.420	66.439	292.083	170.240	109.776
3170	15.84500	-6.749	287.721	1563.805	-123.837	444.580	1311.126	-82.472	567.807	1022.132	95.462	518.891	861.785	-130.184	171.594	1318.200	-200.552	46.722	1029.494	-129.232	41.502	808.657	-146.318	464.561	788.772	-232.327	403.338	413.351	-452.531	396.233	109.454	-497.975	353.382	99.854	-368.804	422.388	29.828	-307.041	381.215	29.776	-70.210	117.366	828.611	65.419	160.421	436.078	141.710	148.172	70.587	114.165	196.392	36.541	254.211	126.073	62.903	294.902	170.902	105.050
3171	15.85000	0.661	286.500	1563.340	-116.993	443.285	1311.052	-76.385	566.541	1022.018	101.347	517.551	861.543	-123.931	170.307	1318.408	-194.531	46.196	1030.028	-124.745	40.838	808.818	-140.337	463.186	788.452	-226.581	403.234	412.459	-450.163	396.745	111.836	-495.633	353.589	102.996	-368.242	422.358	30.259	-307.118	381.276	29.948	-61.987	116.255	828.793	71.423	160.206	436.487	143.334	148.702	68.191	115.026	196.441	34.916	255.353	126.757	59.492	296.294	171.564	100.474
