NO_OF_SAMPLES	232
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
FIRST_SAMPLE	3162
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3162	15.80500	58.761870	-90.348849	713.382039	5.065182	-24.528059	-10.025952	30.884924	11.685220	0.000000	
3163	15.81000	58.694818	-94.592336	708.132582	5.156005	-24.353085	-10.120590	30.871760	12.147627	0.000000	
3164	15.81500	58.443130	-98.813100	700.493084	5.272154	-24.069141	-10.228726	30.819350	12.696732	0.000000	
3165	15.82000	58.123062	-102.646752	692.056698	5.360677	-23.830926	-10.267475	30.871475	13.211219	0.000000	
3166	15.82500	57.686221	-106.160647	682.032340	5.492978	-23.411310	-10.324396	30.738228	13.816838	0.000000	
3167	15.83000	56.998696	-109.744873	669.791824	5.533234	-23.028690	-10.339309	30.773195	14.356997	0.000000	
3168	15.83500	56.309936	-112.782514	656.764351	5.517600	-22.501901	-10.294198	30.627126	14.816908	0.000000	
3169	15.84000	55.324686	-115.569402	642.670854	5.555696	-22.002279	-10.198009	30.586957	15.389491	0.000000	
3170	15.84500	54.245919	-118.517241	626.194057	5.500748	-21.294820	-10.143011	30.335981	15.912577	0.000000	
3171	15.85000	52.893370	-120.872524	609.364708	5.446108	-20.597005	-10.050475	30.123003	16.434795	0.000000	
3172	15.85500	51.538969	-122.772274	590.678444	5.318579	-19.899614	-9.952724	29.993240	16.887115	0.000000	
3173	15.86000	49.705876	-124.719034	570.664162	5.171673	-19.130433	-9.845137	29.833098	17.380098	0.000000	
3174	15.86500	47.779396	-126.005571	548.978912	4.932531	-18.190164	-9.704749	29.447322	17.748273	0.000000	
3175	15.87000	45.214124	-126.631736	526.319170	4.676363	-17.278063	-9.581248	29.186660	18.098056	0.000000	
3176	15.87500	42.166373	-126.597697	498.793863	4.425145	-16.176148	-9.373882	28.844705	18.621187	0.000000	
3177	15.88000	38.976373	-124.831515	466.145860	4.080133	-14.921333	-9.036194	28.461654	19.070497	0.000000	
3178	15.88500	35.576125	-121.263229	430.412830	3.769231	-13.449631	-8.596092	27.738779	19.641082	0.000000	
