NO_OF_SAMPLES	232
FREQUENCY	200
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
FIRST_SAMPLE	3162
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
3162	15.80500	0.525650	-1.153894	2.555643	0.365913	0.361334	0.028986	0.000000	0.000000	0.000000	
3163	15.81000	0.547890	-1.085421	2.556179	0.302462	0.333488	0.042714	0.000000	0.000000	0.000000	
3164	15.81500	0.503805	-1.131737	2.913818	0.347699	0.424725	0.028997	0.000000	0.000000	0.000000	
3165	15.82000	0.549940	-1.131834	3.182323	0.347883	0.388186	0.038121	0.000000	0.000000	0.000000	
3166	15.82500	0.526921	-1.086249	3.092284	0.366191	0.351868	0.042777	0.000000	0.000000	0.000000	
3167	15.83000	0.662539	-1.017228	2.914197	0.311632	0.379075	0.042400	0.000000	0.000000	0.000000	
3168	15.83500	0.549535	-1.086091	3.002675	0.384228	0.397709	0.028896	0.000000	0.000000	0.000000	
3169	15.84000	0.730935	-1.085217	2.824633	0.357000	0.361374	0.037682	0.000000	0.000000	0.000000	
3170	15.84500	0.503605	-0.995063	3.002355	0.357194	0.360960	0.038186	0.000000	0.000000	0.000000	
3171	15.85000	0.525938	-1.131296	2.644996	0.375006	0.379560	0.028967	0.000000	0.000000	0.000000	
3172	15.85500	0.939528	-1.155130	4.260427	0.193407	0.441180	0.101575	0.000000	0.000000	0.000000	
3173	15.86000	1.235694	-2.713625	14.216536	-1.016077	1.064905	0.211767	-78.826140	-64.166771	0.000000	
3174	15.86500	0.749086	-7.628145	105.002445	-11.839340	6.544910	0.490167	-63.049126	-110.193112	0.000000	
3175	15.87000	0.694674	-25.271765	379.700402	-45.262534	22.183186	0.887198	-58.928089	-116.890445	0.000000	
3176	15.87500	4.746658	2.059138	303.480703	-34.130006	17.738255	0.140604	-59.508859	-113.089764	0.000000	
3177	15.88000	1.065526	25.170593	327.042566	-35.113069	19.209057	-1.588820	-59.298201	-110.809771	0.000000	
3178	15.88500	-0.936399	54.934427	360.246276	-37.019383	21.129253	-3.522541	-58.979730	-109.236701	0.000000	
3179	15.89000	-4.704653	82.424960	356.636052	-34.938120	21.125175	-5.556917	-59.136935	-107.596576	0.000000	
3180	15.89500	-10.067349	90.760214	354.216955	-33.742425	21.256421	-6.646583	-59.300801	-105.897736	0.000000	
3181	15.90000	-11.697795	74.037017	365.954575	-35.276045	22.169370	-6.075283	-59.728541	-104.869387	0.000000	
3182	15.90500	-13.333531	58.465102	389.422571	-38.132572	23.805402	-5.504526	-60.187713	-104.301535	0.000000	
3183	15.91000	-16.196325	54.518496	411.017201	-40.224905	25.362560	-5.657382	-60.557188	-103.545542	0.000000	
3184	15.91500	-19.701299	61.178984	425.908024	-41.083039	26.638099	-6.576214	-61.119661	-102.580193	0.000000	
3185	15.92000	-22.858604	71.899303	437.907951	-41.335512	27.711577	-7.612405	-61.618668	-101.337952	0.000000	
3186	15.92500	-25.944534	79.967499	457.175398	-41.918387	29.288140	-8.532816	-62.217569	-99.065293	0.000000	
3187	15.93000	-34.112616	84.166054	497.578951	-43.677820	32.796326	-9.431073	-63.592267	-94.924657	0.000000	
3188	15.93500	-49.193170	90.993560	556.915242	-46.256538	37.870325	-10.921359	-64.887038	-89.971196	0.000000	
3189	15.94000	-61.176425	98.260065	592.262730	-46.739839	41.149573	-12.041769	-65.765036	-85.931155	0.000000	
3190	15.94500	-66.075066	102.766281	601.601948	-45.505701	42.316214	-12.464636	-66.363251	-82.851871	0.000000	
3191	15.95000	-69.644576	103.335718	609.894487	-44.368507	43.291770	-12.732614	-66.831473	-79.903090	0.000000	
3192	15.95500	-72.114849	100.435460	627.883276	-44.125380	44.757691	-12.863814	-67.105941	-77.051473	0.000000	
3193	15.96000	-72.702313	97.907859	644.268380	-44.045132	45.924704	-12.902905	-67.185060	-74.818932	0.000000	
3194	15.96500	-73.740611	96.707293	652.943169	-43.300937	46.625696	-12.941448	-67.307968	-72.616091	0.000000	
3195	15.97000	-75.213840	95.482709	658.036007	-42.085313	47.046802	-12.799609	-67.340479	-70.134799	0.000000	
3196	15.97500	-75.596640	94.033934	661.168102	-40.861940	47.432628	-12.526983	-67.583835	-67.865981	0.000000	
3197	15.98000	-74.088649	92.499487	664.125768	-39.356533	47.549248	-12.157420	-67.551499	-65.205850	0.000000	
3198	15.98500	-70.513683	90.654565	664.228615	-37.670548	47.451817	-11.677612	-67.610420	-62.546081	0.000000	
3199	15.99000	-66.023610	88.195096	664.070557	-35.813092	47.218603	-11.015723	-67.546571	-59.615173	0.000000	
3200	15.99500	-62.217868	85.597026	663.018669	-34.083663	47.047261	-10.324680	-67.624981	-56.943513	0.000000	
3201	16.00000	-59.005739	82.679792	660.890568	-32.263907	46.822020	-9.682684	-67.695587	-54.195092	0.000000	
3202	16.00500	-55.934649	79.104613	656.437916	-30.427266	46.461432	-9.067670	-67.790284	-51.543826	0.000000	
3203	16.01000	-53.098415	75.691842	649.655249	-28.545265	46.020760	-8.534958	-67.990423	-48.970508	0.000000	
3204	16.01500	-51.176596	72.961115	641.968350	-26.516843	45.535391	-8.073932	-68.163444	-46.222219	0.000000	
3205	16.02000	-50.354430	70.526798	631.945992	-24.333790	44.997174	-7.739218	-68.438165	-43.340558	0.000000	
3206	16.02500	-50.194262	67.931872	619.772241	-21.842933	44.488328	-7.407585	-68.963317	-39.997865	0.000000	
3207	16.03000	-50.493822	65.520004	605.803703	-19.179552	43.963259	-7.143960	-69.656931	-36.355712	0.000000	
3208	16.03500	-50.999169	63.221450	591.118030	-16.443538	43.392851	-6.847715	-70.377480	-32.465501	0.000000	
3209	16.04000	-51.188987	61.061969	575.268645	-13.643712	42.678107	-6.538418	-71.048878	-28.332530	0.000000	
3210	16.04500	-51.357633	59.244647	559.507520	-10.916172	42.045156	-6.266147	-71.894774	-24.115384	0.000000	
3211	16.05000	-51.161984	57.405602	544.196570	-8.324631	41.338539	-5.967073	-72.621352	-19.886103	0.000000	
3212	16.05500	-50.692373	55.544308	529.782832	-5.896493	40.694677	-5.682437	-73.405645	-15.693200	0.000000	
3213	16.06000	-50.037914	53.728005	517.159971	-3.613123	40.104135	-5.416610	-74.095686	-11.511404	0.000000	
3214	16.06500	-49.382085	51.842354	505.525313	-1.602529	39.638510	-5.132431	-74.922052	-7.641222	0.000000	
3215	16.07000	-48.497989	50.094133	495.232885	0.263728	39.099212	-4.880917	-75.452849	-3.882526	0.000000	
3216	16.07500	-47.837546	48.274848	486.552487	2.011849	38.703584	-4.619696	-76.032621	-0.202518	0.000000	
3217	16.08000	-46.859262	46.388787	478.053354	3.623909	38.225473	-4.354534	-76.458705	3.330671	0.000000	
3218	16.08500	-45.742207	44.661380	470.897136	5.136604	37.782629	-4.080541	-76.768859	6.746277	0.000000	
3219	16.09000	-44.582215	43.117132	463.384148	6.476662	37.402663	-3.820585	-77.287018	9.887059	0.000000	
3220	16.09500	-43.351943	41.595007	457.124925	7.699154	36.994070	-3.551538	-77.553540	12.835244	0.000000	
3221	16.10000	-42.029868	40.118320	451.492846	8.840071	36.621242	-3.287326	-77.807332	15.658037	0.000000	
3222	16.10500	-40.615408	38.322797	446.490116	9.853504	36.265646	-3.027787	-78.005003	18.268628	0.000000	
3223	16.11000	-39.338247	36.549646	441.488851	10.712473	35.899443	-2.744951	-78.170389	20.586406	0.000000	
3224	16.11500	-38.102648	34.706149	438.099507	11.489928	35.577189	-2.438969	-78.149426	22.691905	0.000000	
3225	16.12000	-37.092925	32.861261	435.693889	12.203988	35.326835	-2.160052	-78.096929	24.627996	0.000000	
3226	16.12500	-35.992067	31.016428	433.468847	12.827217	35.066577	-1.858352	-77.997106	26.364812	0.000000	
3227	16.13000	-35.118038	29.147737	431.691173	13.386899	34.832699	-1.560711	-77.855995	27.945052	0.000000	
3228	16.13500	-34.358744	27.347223	429.824473	13.846709	34.588804	-1.253636	-77.695708	29.305833	0.000000	
3229	16.14000	-33.599381	25.410168	427.958758	14.270004	34.335553	-0.946501	-77.511990	30.605895	0.000000	
3230	16.14500	-32.770941	23.336838	426.899019	14.602757	34.045377	-0.671591	-77.101486	31.657129	0.000000	
3231	16.15000	-31.987965	21.194771	425.661760	14.889812	33.754550	-0.364378	-76.714925	32.626511	0.000000	
3232	16.15500	-31.453063	19.073528	425.318699	15.158724	33.572150	-0.065827	-76.398072	33.485529	0.000000	
3233	16.16000	-31.281628	16.746157	425.333595	15.354873	33.370486	0.219897	-75.937455	34.165106	0.000000	
3234	16.16500	-32.243107	13.366362	426.333944	15.513241	33.276039	0.467301	-75.448249	34.773721	0.000000	
3235	16.17000	-33.122286	12.289641	427.052099	15.720595	33.238197	0.584798	-75.150864	35.301377	0.000000	
3236	16.17500	-32.836154	11.577784	429.206061	15.964901	33.209471	0.832782	-74.735714	35.758200	0.000000	
3237	16.18000	-31.615365	9.753330	431.011707	16.134878	33.117767	1.106640	-74.325336	36.171151	0.000000	
3238	16.18500	-30.824220	7.357312	433.087242	16.322195	33.034355	1.395538	-73.851920	36.650642	0.000000	
3239	16.19000	-31.302427	4.612841	436.236142	16.463258	33.111570	1.733453	-73.454960	36.959363	0.000000	
3240	16.19500	-32.004775	1.638072	440.012837	16.621697	33.379202	2.090265	-73.372367	37.270480	0.000000	
3241	16.20000	-32.498966	-1.041591	445.488249	16.808430	33.646584	2.451140	-73.031551	37.468588	0.000000	
3242	16.20500	-32.651118	-3.196640	451.944250	17.096284	33.951710	2.760450	-72.656097	37.756560	0.000000	
3243	16.21000	-32.821968	-5.239663	460.009119	17.466371	34.366142	3.046767	-72.275876	38.071136	0.000000	
3244	16.21500	-33.354309	-7.331012	468.521229	17.872558	34.834203	3.379904	-71.924031	38.419091	0.000000	
3245	16.22000	-34.083656	-9.927806	478.915955	18.286960	35.482540	3.778018	-71.664956	38.660396	0.000000	
3246	16.22500	-34.786119	-12.639509	490.739719	18.883822	36.022555	4.157879	-70.991645	39.158361	0.000000	
3247	16.23000	-35.418716	-14.646542	503.902915	19.472454	36.798970	4.509589	-70.638868	39.454149	0.000000	
3248	16.23500	-36.002647	-16.427421	518.138271	20.161554	37.611859	4.884102	-70.233631	39.828306	0.000000	
3249	16.24000	-36.309392	-18.596053	533.270546	20.941097	38.461654	5.271931	-69.823380	40.313051	0.000000	
3250	16.24500	-36.772482	-21.677240	548.409411	21.600953	39.309637	5.729453	-69.420193	40.619086	0.000000	
3251	16.25000	-37.167305	-24.826135	563.547462	22.324482	40.131145	6.159282	-68.996649	41.026548	0.000000	
3252	16.25500	-37.743186	-28.295105	578.599112	22.956238	41.051589	6.617170	-68.763878	41.282516	0.000000	
3253	16.26000	-38.588838	-31.880201	594.364957	23.724397	41.935618	7.098787	-68.381584	41.712516	0.000000	
3254	16.26500	-39.435389	-35.760775	609.865339	24.346482	42.891737	7.562068	-68.166615	41.918706	0.000000	
3255	16.27000	-40.464582	-39.573090	625.184106	25.059690	43.803075	7.998197	-67.898567	42.268384	0.000000	
3256	16.27500	-41.380853	-43.612293	639.788993	25.772496	44.623539	8.466369	-67.583381	42.662872	0.000000	
3257	16.28000	-42.662250	-47.765590	654.213070	26.485197	45.462347	8.875663	-67.306382	43.058582	0.000000	
3258	16.28500	-43.604783	-51.916543	667.832993	27.170799	46.146928	9.302625	-66.910967	43.449235	0.000000	
3259	16.29000	-44.662785	-56.658895	680.024597	27.827723	46.831626	9.739231	-66.663550	43.909795	0.000000	
3260	16.29500	-45.611879	-61.284907	690.695656	28.402917	47.379977	10.184758	-66.379053	44.327471	0.000000	
3261	16.30000	-46.606588	-66.183575	701.276700	29.023455	47.856183	10.593780	-66.006155	44.818486	0.000000	
3262	16.30500	-47.515127	-70.852019	710.514504	29.607747	48.296830	10.965694	-65.722449	45.317191	0.000000	
3263	16.31000	-48.244629	-75.791462	718.591617	30.109778	48.637561	11.337319	-65.421992	45.778311	0.000000	
3264	16.31500	-49.024009	-80.911129	724.880301	30.565677	48.924145	11.699901	-65.210376	46.290450	0.000000	
3265	16.32000	-49.648142	-86.164603	730.006746	30.939721	49.074679	12.034638	-64.927367	46.764073	0.000000	
3266	16.32500	-50.258437	-91.368384	732.091406	31.213236	49.126063	12.337078	-64.780446	47.288768	0.000000	
3267	16.33000	-50.555640	-96.682361	732.299560	31.368396	48.977502	12.657275	-64.542999	47.778326	0.000000	
3268	16.33500	-50.702698	-101.808856	730.089904	31.442100	48.639445	12.889732	-64.265918	48.306753	0.000000	
3269	16.34000	-50.855755	-106.978023	726.002193	31.388263	48.201437	13.099221	-64.013555	48.792330	0.000000	
3270	16.34500	-50.790240	-111.732611	719.318547	31.243983	47.555087	13.294270	-63.709430	49.313682	0.000000	
3271	16.35000	-50.801987	-116.232382	710.395504	30.981771	46.827974	13.383623	-63.480043	49.822658	0.000000	
3272	16.35500	-50.388018	-120.978308	698.972309	30.518891	45.909586	13.518068	-63.220288	50.252975	0.000000	
3273	16.36000	-49.915247	-125.241121	685.218720	30.011320	44.820045	13.560260	-62.918194	50.777704	0.000000	
3274	16.36500	-49.155209	-128.884625	669.405954	29.358965	43.640165	13.569315	-62.677240	51.229485	0.000000	
3275	16.37000	-48.288867	-132.388093	651.358457	28.479176	42.359631	13.587221	-62.489337	51.523937	0.000000	
