X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.870000	3.171885e-06	8.501958e-05	4.715068e-06	7.015589e-06	
21.871001	3.238142e-06	8.592947e-05	4.739530e-06	6.569967e-06	
21.872002	3.305887e-06	8.679935e-05	4.767288e-06	6.146888e-06	
21.873003	3.375046e-06	8.762725e-05	4.798424e-06	5.747196e-06	
21.874003	3.445547e-06	8.841117e-05	4.833022e-06	5.371737e-06	
21.875004	3.517315e-06	8.914919e-05	4.871161e-06	5.021323e-06	
21.876005	3.590283e-06	8.984070e-05	4.912843e-06	4.696036e-06	
21.877006	3.664387e-06	9.048641e-05	4.957991e-06	4.395226e-06	
21.878007	3.739564e-06	9.108711e-05	5.006524e-06	4.118210e-06	
21.879008	3.815751e-06	9.164355e-05	5.058364e-06	3.864305e-06	
21.880009	3.892886e-06	9.215651e-05	5.113430e-06	3.632830e-06	
21.881009	3.970904e-06	9.262677e-05	5.171641e-06	3.423101e-06	
21.882010	4.049744e-06	9.305510e-05	5.232919e-06	3.234436e-06	
21.883011	4.129341e-06	9.344226e-05	5.297183e-06	3.066153e-06	
21.884012	4.209633e-06	9.378904e-05	5.364353e-06	2.917570e-06	
21.885013	4.290558e-06	9.409620e-05	5.434348e-06	2.788003e-06	
21.886014	4.372051e-06	9.436452e-05	5.507090e-06	2.676770e-06	
21.887015	4.454049e-06	9.459476e-05	5.582498e-06	2.583189e-06	
21.888016	4.536491e-06	9.478770e-05	5.660492e-06	2.506577e-06	
21.889016	4.619312e-06	9.494412e-05	5.740992e-06	2.446252e-06	
21.890017	4.702450e-06	9.506478e-05	5.823918e-06	2.401531e-06	
21.891018	4.785842e-06	9.515046e-05	5.909190e-06	2.371732e-06	
21.892019	4.869424e-06	9.520193e-05	5.996728e-06	2.356173e-06	
21.893020	4.953133e-06	9.521996e-05	6.086453e-06	2.354170e-06	
21.894021	5.036908e-06	9.520533e-05	6.178283e-06	2.365041e-06	
21.895022	5.120683e-06	9.515880e-05	6.272139e-06	2.388105e-06	
21.896022	5.204397e-06	9.508115e-05	6.367941e-06	2.422678e-06	
21.897023	5.287987e-06	9.497315e-05	6.465610e-06	2.468077e-06	
21.898024	5.371389e-06	9.483558e-05	6.565064e-06	2.523621e-06	
21.899025	5.454540e-06	9.466920e-05	6.666225e-06	2.588627e-06	
21.900026	5.537377e-06	9.447478e-05	6.769012e-06	2.662412e-06	
21.901027	5.619838e-06	9.425311e-05	6.873344e-06	2.744295e-06	
21.902028	5.701858e-06	9.400495e-05	6.979143e-06	2.833591e-06	
21.903028	5.783376e-06	9.373108e-05	7.086328e-06	2.929620e-06	
