X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.870000	-9.881937e-07	2.158866e-04	4.674049e-06	-1.174683e-06	
21.871001	-6.601487e-06	2.125270e-04	8.344707e-06	-6.029556e-06	
21.872002	-5.941410e-06	2.021864e-04	8.805347e-06	-3.629270e-06	
21.873003	-1.345213e-06	1.850157e-04	6.159377e-06	2.268342e-06	
21.874003	-1.082364e-06	1.540147e-04	5.911552e-06	6.058347e-06	
21.875004	-1.052373e-06	1.393943e-04	5.777152e-06	2.288236e-06	
21.876005	-1.285118e-06	9.552400e-05	5.878699e-06	-1.420361e-05	
21.877006	1.251235e-06	4.328813e-05	3.714684e-06	-1.265907e-05	
21.878007	7.506918e-06	2.466659e-05	-1.015129e-06	2.637768e-06	
21.879008	4.016773e-06	-1.768720e-05	-1.406340e-06	2.854373e-06	
21.880009	-3.788420e-06	-2.189624e-05	-1.321055e-06	2.497765e-06	
21.881009	-2.642122e-06	4.054064e-05	-3.929931e-06	4.604502e-06	
21.882010	-9.241052e-07	5.579475e-05	-8.504027e-06	1.722143e-06	
21.883011	1.604260e-07	4.505479e-05	-1.087066e-05	8.441828e-07	
21.884012	3.574041e-06	4.165697e-05	-7.488012e-06	1.824730e-06	
21.885013	1.959713e-06	1.437124e-05	-5.630620e-06	-3.588019e-08	
21.886014	7.474860e-07	-2.180581e-05	-4.254947e-06	-2.171345e-06	
21.887015	1.832024e-06	-6.056212e-05	-4.472577e-06	1.561042e-06	
21.888016	-1.880461e-06	-8.556528e-05	-8.525361e-06	2.477578e-06	
21.889016	-2.928726e-07	-8.607182e-05	-6.925883e-06	-7.049473e-07	
21.890017	5.136086e-06	-7.676171e-05	-4.860182e-06	1.353728e-06	
21.891018	-1.200079e-07	-6.372605e-05	-6.938992e-06	3.014149e-06	
21.892019	-6.512257e-06	-5.585118e-05	-5.935369e-06	3.085435e-06	
21.893020	-4.976643e-06	-5.838677e-05	-2.560331e-07	2.955310e-06	
21.894021	-5.263595e-07	-8.062876e-05	6.934773e-06	2.548124e-06	
21.895022	1.199935e-06	-1.058440e-04	8.015397e-06	4.864763e-06	
21.896022	-1.043604e-06	-1.036235e-04	4.697115e-06	4.775274e-06	
21.897023	1.714027e-06	-8.505622e-05	2.794605e-06	3.366750e-06	
21.898024	2.343710e-06	-5.510576e-05	-1.392621e-06	2.330148e-06	
21.899025	-5.408818e-06	-1.394639e-05	-3.816350e-06	-5.063779e-07	
21.900026	-4.313808e-06	2.092535e-05	1.539427e-07	-8.392370e-07	
21.901027	1.862557e-06	4.563833e-05	1.594762e-06	2.182492e-06	
21.902028	2.203805e-06	5.510951e-05	-1.869518e-06	5.355972e-06	
21.903028	2.287992e-06	5.366361e-05	-2.064529e-06	2.022766e-06	
21.904029	2.500214e-06	5.582543e-05	2.181023e-06	-3.092875e-06	
21.905030	9.759095e-07	2.935173e-05	7.763415e-06	-2.486049e-06	
21.906031	-4.891031e-06	-2.312561e-05	1.318395e-05	-6.152165e-06	
21.907032	-9.243129e-06	-3.682252e-05	1.414270e-05	-1.051921e-05	
21.908033	-4.882657e-06	-2.199363e-05	1.504402e-05	-6.387836e-06	
21.909034	-3.058355e-06	-5.623788e-06	2.043757e-05	-3.456307e-06	
21.910035	-4.197562e-06	-2.069892e-05	1.877774e-05	-3.400663e-06	
21.911035	7.566206e-08	-1.155398e-04	9.715910e-06	-6.989091e-07	
21.912036	2.921734e-06	-1.877428e-04	2.558059e-06	-8.175436e-08	
21.913037	3.191816e-06	-1.602988e-04	-1.611234e-06	-2.804768e-06	
21.914038	4.219443e-06	-1.122933e-04	-3.034253e-06	-3.724824e-06	
21.915039	1.661859e-06	-7.362701e-05	-4.948959e-06	-7.992132e-07	
21.916040	-3.510139e-06	-3.640956e-05	-8.169884e-06	1.343775e-06	
21.917041	-7.434094e-06	-7.486714e-06	-9.193771e-06	9.909365e-07	
21.918041	-6.570904e-06	1.464553e-05	-8.842118e-06	1.447067e-06	
21.919042	-1.212490e-07	2.203220e-05	-1.246033e-05	-1.356102e-07	
21.920043	3.582886e-06	2.683649e-05	-1.614784e-05	-6.790708e-07	
21.921044	5.396013e-06	4.584928e-05	-1.412022e-05	5.520718e-07	
21.922045	9.101657e-06	7.617342e-05	-1.405147e-05	-1.062808e-07	
21.923046	8.420060e-06	1.070525e-04	-1.419831e-05	3.957476e-07	
