X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
15.860000	9.318354e-06	5.676382e-05	4.826236e-06	9.088249e-06	
15.861001	9.370186e-06	5.712491e-05	4.877438e-06	9.120841e-06	
15.862002	9.419667e-06	5.747048e-05	4.929081e-06	9.150750e-06	
15.863003	9.466698e-06	5.779964e-05	4.981164e-06	9.177854e-06	
15.864004	9.511183e-06	5.811148e-05	5.033686e-06	9.202028e-06	
15.865005	9.553024e-06	5.840509e-05	5.086645e-06	9.223149e-06	
15.866006	9.592123e-06	5.867957e-05	5.140043e-06	9.241093e-06	
15.867007	9.628383e-06	5.893401e-05	5.193877e-06	9.255738e-06	
15.868008	9.661706e-06	5.916751e-05	5.248146e-06	9.266959e-06	
15.869009	9.691994e-06	5.937915e-05	5.302851e-06	9.274633e-06	
15.870010	9.719151e-06	5.956805e-05	5.357991e-06	9.278637e-06	
15.871010	9.743078e-06	5.973329e-05	5.413563e-06	9.278847e-06	
15.872011	9.763678e-06	5.987396e-05	5.469569e-06	9.275139e-06	
15.873012	9.780853e-06	5.998917e-05	5.526006e-06	9.267390e-06	
15.874013	9.794506e-06	6.007800e-05	5.582874e-06	9.255476e-06	
15.875014	9.804549e-06	6.013959e-05	5.640172e-06	9.239280e-06	
15.876015	9.811123e-06	6.017375e-05	5.697866e-06	9.218797e-06	
15.877016	9.814588e-06	6.018099e-05	5.755894e-06	9.194139e-06	
15.878017	9.815318e-06	6.016186e-05	5.814194e-06	9.165420e-06	
15.879018	9.813683e-06	6.011689e-05	5.872702e-06	9.132754e-06	
15.880019	9.810056e-06	6.004661e-05	5.931354e-06	9.096258e-06	
15.881020	9.804808e-06	5.995157e-05	5.990088e-06	9.056044e-06	
15.882021	9.798311e-06	5.983230e-05	6.048840e-06	9.012230e-06	
15.883022	9.790937e-06	5.968934e-05	6.107546e-06	8.964928e-06	
15.884023	9.783056e-06	5.952322e-05	6.166144e-06	8.914255e-06	
15.885024	9.775041e-06	5.933449e-05	6.224571e-06	8.860325e-06	
15.886025	9.767265e-06	5.912368e-05	6.282761e-06	8.803253e-06	
15.887026	9.760097e-06	5.889133e-05	6.340654e-06	8.743154e-06	
15.888027	9.753910e-06	5.863797e-05	6.398185e-06	8.680142e-06	
15.889028	9.749076e-06	5.836414e-05	6.455291e-06	8.614333e-06	
15.890029	9.745966e-06	5.807039e-05	6.511908e-06	8.545841e-06	
15.891030	9.744953e-06	5.775724e-05	6.567974e-06	8.474782e-06	
15.892031	9.746407e-06	5.742524e-05	6.623424e-06	8.401270e-06	
15.893031	9.750701e-06	5.707492e-05	6.678197e-06	8.325419e-06	
15.894032	9.758205e-06	5.670682e-05	6.732228e-06	8.247346e-06	
15.895033	9.769293e-06	5.632147e-05	6.785454e-06	8.167164e-06	
15.896034	9.784335e-06	5.591942e-05	6.837812e-06	8.084989e-06	
15.897035	9.803703e-06	5.550120e-05	6.889238e-06	8.000935e-06	
15.898036	9.827770e-06	5.506735e-05	6.939670e-06	7.915117e-06	
15.899037	9.856905e-06	5.461841e-05	6.989043e-06	7.827651e-06	
15.900038	9.891483e-06	5.415491e-05	7.037295e-06	7.738651e-06	
15.901039	9.931873e-06	5.367739e-05	7.084363e-06	7.648231e-06	
15.902040	9.978448e-06	5.318639e-05	7.130183e-06	7.556508e-06	
15.903041	1.003158e-05	5.268244e-05	7.174691e-06	7.463595e-06	
15.904042	1.009164e-05	5.216609e-05	7.217825e-06	7.369607e-06	
15.905043	1.015900e-05	5.163786e-05	7.259521e-06	7.274660e-06	
15.906044	1.023403e-05	5.109830e-05	7.299715e-06	7.178868e-06	
15.907045	1.031710e-05	5.054795e-05	7.338346e-06	7.082346e-06	
15.908046	1.040859e-05	4.998734e-05	7.375348e-06	6.985210e-06	
15.909047	1.050887e-05	4.941701e-05	7.410659e-06	6.887573e-06	
15.910048	1.061830e-05	4.883750e-05	7.444216e-06	6.789550e-06	
15.911049	1.073726e-05	4.824934e-05	7.475956e-06	6.691257e-06	
15.912050	1.086613e-05	4.765307e-05	7.505814e-06	6.592809e-06	
15.913051	1.100527e-05	4.704923e-05	7.533728e-06	6.494320e-06	
15.914051	1.115505e-05	4.643835e-05	7.559635e-06	6.395905e-06	
15.915052	1.131585e-05	4.582098e-05	7.583470e-06	6.297679e-06	
15.916053	1.148804e-05	4.519765e-05	7.605172e-06	6.199757e-06	
15.917054	1.167199e-05	4.456890e-05	7.624676e-06	6.102253e-06	
15.918055	1.186807e-05	4.393526e-05	7.641919e-06	6.005284e-06	
15.919056	1.207665e-05	4.329727e-05	7.656838e-06	5.908962e-06	
15.920057	1.229811e-05	4.265548e-05	7.669370e-06	5.813404e-06	
15.921058	1.253282e-05	4.201041e-05	7.679451e-06	5.718725e-06	
15.922059	1.278114e-05	4.136260e-05	7.687018e-06	5.625038e-06	
15.923060	1.304346e-05	4.071260e-05	7.692008e-06	5.532459e-06	
15.924061	1.332013e-05	4.006094e-05	7.694357e-06	5.441103e-06	
15.925062	1.361152e-05	3.940815e-05	7.694006e-06	5.351082e-06	
15.926063	1.391743e-05	3.875463e-05	7.690949e-06	5.262447e-06	
15.927064	1.423725e-05	3.810069e-05	7.685234e-06	5.175200e-06	
15.928065	1.457034e-05	3.744662e-05	7.676904e-06	5.089342e-06	
15.929066	1.491607e-05	3.679272e-05	7.666009e-06	5.004871e-06	
15.930067	1.527379e-05	3.613929e-05	7.652593e-06	4.921788e-06	
15.931068	1.564287e-05	3.548661e-05	7.636703e-06	4.840092e-06	
15.932069	1.602268e-05	3.483499e-05	7.618387e-06	4.759782e-06	
15.933070	1.641257e-05	3.418472e-05	7.597689e-06	4.680859e-06	
15.934071	1.681190e-05	3.353611e-05	7.574658e-06	4.603322e-06	
15.935071	1.722005e-05	3.288944e-05	7.549339e-06	4.527171e-06	
15.936072	1.763637e-05	3.224500e-05	7.521779e-06	4.452405e-06	
15.937073	1.806023e-05	3.160311e-05	7.492025e-06	4.379025e-06	
15.938074	1.849099e-05	3.096405e-05	7.460123e-06	4.307030e-06	
15.939075	1.892800e-05	3.032812e-05	7.426119e-06	4.236419e-06	
15.940076	1.937065e-05	2.969561e-05	7.390060e-06	4.167192e-06	
15.941077	1.981828e-05	2.906682e-05	7.351993e-06	4.099349e-06	
15.942078	2.027026e-05	2.844206e-05	7.311964e-06	4.032890e-06	
15.943079	2.072595e-05	2.782160e-05	7.270020e-06	3.967815e-06	
15.944080	2.118472e-05	2.720576e-05	7.226206e-06	3.904122e-06	
15.945081	2.164592e-05	2.659482e-05	7.180571e-06	3.841812e-06	
15.946082	2.210893e-05	2.598909e-05	7.133159e-06	3.780885e-06	
15.947083	2.257310e-05	2.538885e-05	7.084019e-06	3.721340e-06	
15.948084	2.303780e-05	2.479440e-05	7.033195e-06	3.663176e-06	
