X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
15.860000	7.575940e-06	-4.788364e-05	-4.983725e-07	7.555439e-06	
15.861001	2.045989e-06	-1.278886e-04	-1.394416e-06	-2.260875e-06	
15.862002	-4.677515e-06	-1.047740e-04	-3.803528e-06	-1.346213e-05	
15.863003	-1.331286e-05	-5.236449e-05	-5.843804e-06	-1.409958e-05	
15.864004	-1.666475e-05	-2.573452e-05	-7.155800e-06	-1.239993e-05	
15.865005	-4.530035e-06	1.482692e-05	-5.837339e-06	-1.738029e-05	
15.866006	6.214721e-06	7.413089e-06	-2.406418e-06	-1.218740e-05	
15.867007	1.047329e-05	-1.861293e-05	2.309580e-06	5.855796e-08	
15.868008	9.400942e-06	6.017192e-05	5.000072e-06	4.100134e-06	
15.869009	7.275929e-07	8.659470e-05	2.620810e-06	-8.458624e-07	
15.870010	-4.932379e-06	-1.496281e-05	-3.254365e-07	-3.018935e-06	
15.871010	-1.861569e-06	-7.598178e-05	-6.824504e-07	1.308130e-05	
15.872011	1.217988e-05	-4.048028e-05	-8.355860e-07	2.544085e-05	
15.873012	1.507032e-05	4.825994e-05	-3.562752e-06	1.718290e-05	
15.874013	-2.478606e-06	9.818096e-05	-1.530040e-07	9.249069e-06	
15.875014	-1.026771e-05	1.001865e-04	9.633364e-06	6.542119e-06	
15.876015	-7.710391e-06	1.025186e-04	9.219613e-06	4.724398e-06	
15.877016	-1.820896e-06	3.665196e-05	5.988019e-06	4.474466e-06	
15.878017	5.258447e-06	-2.735917e-05	7.713993e-06	4.909377e-06	
15.879018	4.079217e-06	-1.228203e-05	2.908386e-06	2.153810e-06	
15.880019	5.188146e-06	-2.815955e-05	-2.991085e-06	-6.796044e-06	
15.881020	9.159622e-06	-1.428042e-05	-3.684140e-06	-8.838139e-06	
15.882021	5.440297e-06	5.774736e-05	-2.862636e-06	-3.684621e-06	
15.883022	-1.903834e-06	5.132432e-05	-2.436813e-06	-4.361788e-06	
15.884023	-1.206378e-06	3.093915e-05	-3.512395e-06	-6.156446e-06	
15.885024	4.035103e-06	5.151440e-05	-2.010921e-06	-1.066551e-05	
15.886025	2.954277e-07	3.105035e-05	-1.242350e-06	-1.410123e-05	
15.887026	-2.172986e-06	2.290642e-08	-4.433355e-06	-4.360822e-06	
15.888027	-1.977561e-06	4.351846e-06	-3.154616e-06	1.388471e-06	
15.889028	-6.403173e-06	-2.056319e-05	1.891934e-06	-1.797529e-06	
15.890029	-1.730343e-06	-8.272049e-05	4.583086e-06	-2.157276e-06	
15.891030	5.801920e-06	-1.059271e-04	3.352855e-06	-4.649782e-06	
15.892031	8.786823e-06	-1.004672e-04	-5.104088e-06	-8.040176e-06	
15.893031	8.309591e-06	-9.826457e-05	-1.181965e-05	-8.699993e-06	
15.894032	7.754137e-06	-9.432721e-05	-6.585578e-06	-2.996757e-06	
15.895033	1.229788e-05	-8.968199e-05	-2.670712e-06	8.241838e-06	
15.896034	-1.251074e-05	-7.480666e-05	-3.904334e-06	1.120980e-05	
15.897035	-4.083169e-05	-6.679332e-05	-5.035321e-06	5.842662e-06	
15.898036	-2.452890e-05	-3.456496e-05	-1.477423e-05	-3.285827e-07	
15.899037	-1.271594e-05	2.991474e-05	-1.988235e-05	-4.499625e-06	
15.900038	-1.381093e-05	4.107558e-05	-3.936886e-06	-2.268831e-06	
15.901039	-5.129872e-06	4.629501e-05	1.788185e-05	5.797686e-06	
15.902040	-5.454528e-07	8.906790e-05	2.981788e-05	1.083868e-05	
15.903041	2.760276e-08	9.970353e-05	2.549954e-05	7.163385e-06	
15.904042	-5.203727e-06	1.227031e-04	1.376399e-05	4.182504e-06	
15.905043	-6.885075e-06	1.024553e-04	8.588232e-06	6.246745e-06	
15.906044	-3.695461e-06	-1.769502e-05	3.960820e-06	4.176337e-06	
15.907045	-3.518352e-06	-4.022890e-05	-7.944175e-07	1.907725e-07	
15.908046	3.780026e-06	-2.667719e-05	-3.279974e-06	3.331351e-06	
15.909047	9.854451e-06	-5.975779e-05	-5.897861e-06	6.343961e-06	
